set_id,a_x,a_y,p_x,p_y,ap_angle
1,-572.3875,186.275,2045.2625,91.775,-0.0360854119
2,2193.3125,33.5,-438.5125,194.15,3.08062701
3,-1035.4375,211.475,1501.8875,41.375,-0.0669389461
4,2235.8375,362.675,-315.6625,-1.15,-2.99995487
5,-1285.8625,8.3,1331.7875,192.575,0.0702811662
6,-1307.9125,189.425,1276.6625,194.15,0.00182815153
7,-1119.7,192.575,1323.125,69.725,-0.0502478034
8,1410.5375,68.15,-1315.7875,261.875,3.07065469
9,-493.6375,52.4,2109.8375,146.9,0.0362817123
10,-496.7875,99.65,2168.1125,156.35,0.021273386
11,-556.6375,145.325,2202.7625,112.25,-0.0119857274
